chapter,verse,text
7,53,Καὶ ἀπῆλθεν ἕκαστος εἰς τὸν οἶκον αὐτοῦ·
8,1,καὶ ὁ ʼΙησοῦς ἐπορεύθη εἰς τὸ ὄρος τῶν ʼΕλαιῶν.
8,2,"ʼΌρθρου δὲ πάλιν {Β βαθέος > βαθέως } ἦλθεν ὁ ʼΙησοῦς εἰς τὸ ἱερόν, καὶ πᾶς ὁ λαὸς ἤρχετο πρὸς αὐτόν, καὶ καθίσας ἐδίδασκεν αὐτούς."
8,3,"ʼΆγουσιν δὲ οἱ γραμματεῖς καὶ οἱ Φαρισαῖοι {Β πρὸς αὐτὸν > - } γυναῖκα ἐπὶ μοιχείᾳ κατειλημμένην, καὶ στήσαντες αὐτὴν ἐν τῷ μέσῳ,"
8,4,"εἶπον αὐτῷ, Διδάσκαλε, ταύτην εὕρομεν ἐπ' {Β αὐτοφώρῳ > αὐτοφόρῳ } μοιχευομένην."
8,5,ʼΕν δὲ τῷ νόμῳ ἡμῶν {Β Μωϋσῆς > Μωσῆς } ἐνετείλατο τὰς τοιαύτας λιθάζειν· σὺ οὖν τί λέγεις {Β περὶ αὐτῆς; > - }
8,6,"Τοῦτο δὲ ἔλεγον πειράζοντες αὐτόν, ἵνα ἔχωσιν κατηγορίαν κατ' αὐτοῦ. ʽΟ δὲ ʼΙησοῦς κάτω κύψας, τῷ δακτύλῳ ἔγραφεν εἰς τὴν γῆν."
8,7,"ʽΩς δὲ ἐπέμενον ἐπερωτῶντες αὐτόν, ἀναβλέψας εἶπεν αὐτοῖς, ʽΟ ἀναμάρτητος ὑμῶν, πρῶτος λίθον βαλέτω ἐπ' αὐτήν."
8,8,Καὶ πάλιν κάτω κύψας ἔγραφεν εἰς τὴν γῆν.
8,9,"Οἱ δέ, ἀκούσαντες, {Β ἐξήρχοντο > καὶ ὑπὸ τῆς συνειδήσεως ἐλεγχόμενοι ἐξήρχοντο } εἷς καθ' εἷς, ἀρξάμενοι ἀπὸ τῶν πρεσβυτέρων ἕως τῶν ἐσχάτων· καὶ κατελείφθη {Β μόνος ὁ ʼΙησοῦς, > ὁ ʼΙησοῦς μόνος } καὶ ἡ γυνὴ ἐν μέσῳ οὖσα."
8,10,"ʼΑνακύψας δὲ ὁ ʼΙησοῦς, εἶδεν αὐτὴν καὶ εἶπεν, Γύναι, ποῦ {Β εἰσιν; > εἰσιν οἱ κατήγοροί σου } Οὐδείς σε κατέκρινεν;"
8,11,"ʽΗ δὲ εἶπεν, Οὐδείς, κύριε. Εἶπεν δὲ αὐτῇ ὁ ʼΙησοῦς, Οὐδὲ ἐγώ σε κατακρίνω· πορεύου {Β καὶ ἀπὸ τοῦ νῦν > ἀπὸ τοῦ νῦν καὶ } μηκέτι ἁμάρτανε."
